id1,id2,weight
Athlete,SpeedSkater,1
Athlete,SumoWrestler,1
WinterSportPlayer,Biathlete,1
WinterSportPlayer,BobsleighAthlete,1
WinterSportPlayer,CrossCountrySkier,1
WinterSportPlayer,Curler,1
WinterSportPlayer,FigureSkater,1
WinterSportPlayer,IceHockeyPlayer,1
WinterSportPlayer,NordicCombined,1
WinterSportPlayer,Skater,1
WinterSportPlayer,Skijumper,1
WinterSportPlayer,Skier,1
WinterSportPlayer,SpeedSkater,1
WrittenWork,Annotation,1
WrittenWork,Article,1
WrittenWork,Book,1
WrittenWork,Comic,1
WrittenWork,Drama,1
WrittenWork,Law,1
WrittenWork,Letter,1
WrittenWork,MultiVolumePublication,1
WrittenWork,PeriodicalLiterature,1
WrittenWork,Play,1
WrittenWork,Poem,1
WrittenWork,Quote,1
WrittenWork,Resume,1
WrittenWork,StatedResolution,1
WrittenWork,Treaty,1
WrittenWork,Reference,1
WrittenWork,Novel,1
WrittenWork,LightNovel,1
WrittenWork,ComicStrip,1
WrittenWork,Manga,1
WrittenWork,Manhua,1
WrittenWork,Manhwa,1
WrittenWork,AcademicJournal,1
WrittenWork,Magazine,1
WrittenWork,Newspaper,1
WrittenWork,UndergroundJournal,1
Book,Novel,1
Book,LightNovel,1
Comic,ComicStrip,1
Comic,Manga,1
Comic,Manhua,1
Comic,Manhwa,1
Novel,LightNovel,1
Royalty,BritishRoyalty,1
Royalty,Baronet,1
BritishRoyalty,Baronet,1
Family,NobleFamily,1
Sport,Athletics,1
Sport,Boxing,1
Sport,HorseRiding,1
Sport,TeamSport,1
Sport,BoxingCategory,1
Sport,BoxingStyle,1
Sport,Soccer,1
Boxing,BoxingCategory,1
Boxing,BoxingStyle,1
Activity,Game,1
Activity,Sales,1
Activity,Sport,1
Activity,BoardGame,1
Activity,CardGame,1
Activity,Athletics,1
Activity,Boxing,1
Activity,BoxingCategory,1
Activity,BoxingStyle,1
Activity,HorseRiding,1
Activity,TeamSport,1
Activity,Soccer,1
Game,BoardGame,1
Game,CardGame,1
Olympics,OlympicEvent,1
Food,Beverage,1
Food,Cheese,1
Food,Beer,1
Food,Vodka,1
Food,Wine,1
Food,ControlledDesignationOfOriginWine,1
SportsClub,HockeyClub,1
Work,Artwork,1
Work,Cartoon,1
Work,CollectionOfValuables,1
Work,Database,1
Work,Document,1
Work,Film,1
Work,LineOfFashion,1
Work,MusicalWork,1
Work,RadioProgram,1
Work,Software,1
Work,TelevisionEpisode,1
Work,TelevisionSeason,1
Work,TelevisionShow,1
Work,Website,1
