



10 process,  5160/ 478788 entities,    1000 lines,    12.60 seconds
15 process,  5160/ 478788 entities,    1000 lines,    18.32 seconds
20 process,  5160/ 478788 entities,    1000 lines,    23.70 seconds

10 process,  7740/ 478788 entities,    1000 lines,    12.64 seconds
15 process,  7740/ 478788 entities,    1000 lines,    18.48 seconds
20 process,  7740/ 478788 entities,    1000 lines,    23.97 seconds

10 process, 10320/ 478788 entities,    1000 lines,    13.91 seconds
15 process, 10320/ 478788 entities,    1000 lines,    19.55 seconds
20 process, 10320/ 478788 entities,    1000 lines,    26.19 seconds


10 process,  6690/ 478788 entities,    5000 lines,    22.00 seconds
15 process,  6690/ 478788 entities,    5000 lines,    40.21 seconds
